[2023-12-15 00:59:19.273] | ERROR | services.sqs_services | process_job | sqs_services.py:62 | Job with id b11920b8-45c6-4605-9ba9-cb429a219fa3 failed with response 500
[2023-12-15 00:59:19.277] | DEBUG | services.sqs_services | process_job | sqs_services.py:66 | Retrying job with id b11920b8-45c6-4605-9ba9-cb429a219fa3, attempt number 1 which is less than max_attempts
[2023-12-15 00:59:19.321] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: b11920b8-45c6-4605-9ba9-cb429a219fa3
[2023-12-15 00:59:19.321] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job b11920b8-45c6-4605-9ba9-cb429a219fa3 in the database
[2023-12-15 00:59:19.424] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId b11920b8-45c6-4605-9ba9-cb429a219fa3
[2023-12-15 00:59:19.628] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 21
[2023-12-15 00:59:19.629] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id 51e23898-1bd3-4f8f-a3ea-a7f75d4fd30a
[2023-12-15 00:59:19.731] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id 51e23898-1bd3-4f8f-a3ea-a7f75d4fd30a
[2023-12-15 00:59:20.038] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id 51e23898-1bd3-4f8f-a3ea-a7f75d4fd30a processed successfully with response 200
[2023-12-15 00:59:20.039] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job 51e23898-1bd3-4f8f-a3ea-a7f75d4fd30a in the database
[2023-12-15 00:59:20.079] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId 51e23898-1bd3-4f8f-a3ea-a7f75d4fd30a
[2023-12-15 00:59:20.203] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 21
[2023-12-15 00:59:20.204] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id def09ea5-bd4d-4553-85ce-b27ce57f98db
[2023-12-15 00:59:20.242] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id def09ea5-bd4d-4553-85ce-b27ce57f98db
[2023-12-15 00:59:20.509] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id def09ea5-bd4d-4553-85ce-b27ce57f98db processed successfully with response 200
[2023-12-15 00:59:20.510] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job def09ea5-bd4d-4553-85ce-b27ce57f98db in the database
[2023-12-15 00:59:20.759] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId def09ea5-bd4d-4553-85ce-b27ce57f98db
[2023-12-15 00:59:20.960] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 21
[2023-12-15 00:59:20.961] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id 5a4ed99a-7245-4f56-b6e1-fdb6e9154b01
[2023-12-15 00:59:21.062] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id 5a4ed99a-7245-4f56-b6e1-fdb6e9154b01
[2023-12-15 00:59:21.367] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id 5a4ed99a-7245-4f56-b6e1-fdb6e9154b01 processed successfully with response 200
[2023-12-15 00:59:21.368] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job 5a4ed99a-7245-4f56-b6e1-fdb6e9154b01 in the database
[2023-12-15 00:59:21.472] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId 5a4ed99a-7245-4f56-b6e1-fdb6e9154b01
[2023-12-15 00:59:21.676] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 21
[2023-12-15 00:59:21.677] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id b8aba996-a937-4976-8b70-48b5704a101e
[2023-12-15 00:59:21.779] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id b8aba996-a937-4976-8b70-48b5704a101e
[2023-12-15 00:59:22.079] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id b8aba996-a937-4976-8b70-48b5704a101e processed successfully with response 200
[2023-12-15 00:59:22.080] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job b8aba996-a937-4976-8b70-48b5704a101e in the database
[2023-12-15 00:59:22.189] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId b8aba996-a937-4976-8b70-48b5704a101e
[2023-12-15 00:59:22.393] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 21
