[2023-12-15 00:59:31.918] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job d719c28e-1fc9-42d5-97d7-ef67b382eaaf in the database
[2023-12-15 00:59:32.018] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId d719c28e-1fc9-42d5-97d7-ef67b382eaaf
[2023-12-15 00:59:32.224] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 17
[2023-12-15 00:59:32.328] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id b7c97946-6cae-4235-829a-adc4309f0aba
[2023-12-15 00:59:32.428] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id b7c97946-6cae-4235-829a-adc4309f0aba
[2023-12-15 00:59:32.736] | ERROR | services.sqs_services | process_job | sqs_services.py:62 | Job with id b7c97946-6cae-4235-829a-adc4309f0aba failed with response 500
[2023-12-15 00:59:32.736] | DEBUG | services.sqs_services | process_job | sqs_services.py:66 | Retrying job with id b7c97946-6cae-4235-829a-adc4309f0aba, attempt number 1 which is less than max_attempts
[2023-12-15 00:59:32.837] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: b7c97946-6cae-4235-829a-adc4309f0aba
[2023-12-15 00:59:32.837] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job b7c97946-6cae-4235-829a-adc4309f0aba in the database
[2023-12-15 00:59:32.940] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId b7c97946-6cae-4235-829a-adc4309f0aba
[2023-12-15 00:59:33.098] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 17
[2023-12-15 00:59:33.099] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id d1bdfae1-7c9e-4b1e-8d3a-2b91d6d5bd26
[2023-12-15 00:59:33.145] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id d1bdfae1-7c9e-4b1e-8d3a-2b91d6d5bd26
[2023-12-15 00:59:33.451] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id d1bdfae1-7c9e-4b1e-8d3a-2b91d6d5bd26 processed successfully with response 200
[2023-12-15 00:59:33.451] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job d1bdfae1-7c9e-4b1e-8d3a-2b91d6d5bd26 in the database
[2023-12-15 00:59:33.555] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId d1bdfae1-7c9e-4b1e-8d3a-2b91d6d5bd26
[2023-12-15 00:59:33.759] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 8
[2023-12-15 00:59:33.760] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id e504c221-3f88-4ada-81b0-4f99e1d71456
