[2023-12-15 15:20:32.667] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.11808300018310547 seconds
[2023-12-15 15:20:32.767] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 04b6e092-ae7f-4a41-a7a1-7be22be03194
[2023-12-15 15:20:32.870] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 04b6e092-ae7f-4a41-a7a1-7be22be03194
[2023-12-15 15:20:33.075] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: test_job_id
[2023-12-15 15:22:05.029] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id cb0ab16c-dba7-4f4a-81ce-4dfaeae25b80
[2023-12-15 15:22:05.544] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: cb0ab16c-dba7-4f4a-81ce-4dfaeae25b80
[2023-12-15 15:22:05.546] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 1.1442439556121826 seconds
[2023-12-15 15:22:05.645] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.08640384674072266 seconds
[2023-12-15 15:22:05.746] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id a97d268b-0a6e-4598-a694-09bda45ba410
[2023-12-15 15:22:05.850] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: a97d268b-0a6e-4598-a694-09bda45ba410
[2023-12-15 15:22:06.055] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: test_job_id
[2023-12-15 15:23:43.643] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 6b4792a7-3b93-4b4c-af66-2b858031d8f4
[2023-12-15 15:23:44.157] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 6b4792a7-3b93-4b4c-af66-2b858031d8f4
[2023-12-15 15:23:44.159] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 1.509411096572876 seconds
[2023-12-15 15:23:44.257] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.08893704414367676 seconds
[2023-12-15 15:23:44.331] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 35818e21-8501-4a16-aad7-9ce538b3588e
[2023-12-15 15:23:44.462] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 35818e21-8501-4a16-aad7-9ce538b3588e
[2023-12-15 15:23:44.638] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: test_job_id
[2023-12-15 15:26:07.207] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 86fbf8a8-10ab-4398-baad-0b8aef6ae95b
[2023-12-15 15:26:07.618] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 86fbf8a8-10ab-4398-baad-0b8aef6ae95b
[2023-12-15 15:26:07.620] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 1.4884710311889648 seconds
[2023-12-15 15:26:07.721] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.09260106086730957 seconds
[2023-12-15 15:26:07.821] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 8f3ff0a6-0ba3-4890-a9f1-340867d1a2c4
[2023-12-15 15:26:07.925] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 8f3ff0a6-0ba3-4890-a9f1-340867d1a2c4
[2023-12-15 15:27:30.663] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 117edd4d-fa3a-4893-af1a-8f756431832b
[2023-12-15 15:27:31.177] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 117edd4d-fa3a-4893-af1a-8f756431832b
[2023-12-15 15:27:31.179] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 1.4046590328216553 seconds
[2023-12-15 15:27:31.280] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.09179401397705078 seconds
[2023-12-15 15:27:31.380] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 2ffd436b-f770-4497-9f63-b2a4c8876257
[2023-12-15 15:27:31.586] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 2ffd436b-f770-4497-9f63-b2a4c8876257
[2023-12-15 15:29:13.268] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 7aced904-9c36-42f4-8952-f5898bfa99d0
[2023-12-15 15:29:13.578] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 7aced904-9c36-42f4-8952-f5898bfa99d0
[2023-12-15 15:29:13.580] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 1.1988840103149414 seconds
[2023-12-15 15:29:13.679] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.09038162231445312 seconds
[2023-12-15 15:29:13.780] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id ebabfab9-cde2-41c4-957b-7aa5acdd4201
